Brand Name,Outside Model,Inside model,Furnace model,Rated heating capacity (Btu/hour),AHRI / Verification reference,Product group,AHRI Classification,Indoor type/ducting configuration
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","*95ESN0601714A*","26600","211244757","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*95CSU0802120B*","21200","216738378","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH18AAK","D5FUAAH18XAK","-","19000","215318915","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","D5FUAAH24XAK","-","24000","215318916","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","D5FUHAH24XAK","-","24000","215318917","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH30AAK","D5FUAAH30XAK","-","34000","215318918","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH36AAK","D5FUAAH36XAK","-","37000","215318919","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH48AAK","D5FUAAH48XAK","-","50000","215318920","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH60AAK","D5FUAAH60XAK","-","56000","215318921","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH60AAK","D5FUHAH60XAK","-","55000","215318922","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X42L24A*","*80VSL1102422A*","33800","211712690","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","D5FUAAH24XAK","-","26000","215318924","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH36AAK","D5FUAAH36XAK","-","36000","215318926","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH48AAK","D5FUAAH48XAK","-","48000","215318927","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EVD5X48M21A*+WALLCON","*80CSU0401712B*","52000","215941539","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH60AAK","D5FUAAH60XAK","-","54000","215318928","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH18AAK","D5FUHAH24XAK","-","18000","215318929","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH30AAK","D5FUHAH36XAK","-","33000","215318930","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH48AAK","D5FUHAH60XAK","-","48000","215318931","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X42L24A*","*80ES(N,L)1102420A*","33800","211712873","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CSHAH18AAK","D5FSAAH18XBK","-","19500","215318932","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CSHAH24AAK","D5FSAAH24XBK","-","26000","215318933","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CSHAH33AAK","D5FSAAH36XBK","-","35000","215318934","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CSRAH18AAK","D5FSAAH18XBK","-","18000","215318935","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CSRAH24AAK","D5FSAAH24XBK","-","25000","215318936","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CLHAH36AAK","D5FLAAH36XAK","-","38000","215318937","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH18ABK","EA*4X25L17A*","*96VSN0801716B*","17600","212973676","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CLHAH48AAK","D5FLAAH48XAK","-","50000","215318938","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH18ABK","FTMA4X24L0B*","-","18200","213607592","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","EA*5X37M21A*","*80VSL0901716B*","20400","216735529","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","EA*5X37M21A*","*80VSL0902120B*","20800","216735538","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X43L21A*","*96VTN1002122A*","33000","211713042","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH18ABK","EA*4X25L17A*","*80VTL0451412A*","18000","211260833","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","EA*5X37M21A*","*80VSL1102122B*","20600","216735547","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*96VSN0401712B*","24200","213167961","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EVM5X60M24A*+WALLCON","*97CTN1202422A*","52500","215941479","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D,W)4X36L17**","*80VSL0451412A*","25800","211244850","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","EA*5X37M21A*","*80MSU0401712A*","20600","216735557","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","EA*5X37M21A*","*80MSU0601716A*","20400","216735567","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X30L17A*","*92MSN0801716A*","26200","212984594","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","OMV112K14A","26400","211244841","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*96VSN0401410B*","24000","213167948","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M21A*+WALLCON","*97CMN1002122B*","38000","215936709","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VSL0451412B*","20800","216738140","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VSL0701412B*","20800","216738149","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X24L17A*","*96VSN0801716B*","27000","212973826","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","OLV098A12*","25800","211244832","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VSL0701716B*","20800","216738158","ccASHP","HRCU-A-CB","Centrally ducted system"
